2024-03-03 15:08:27,910 INFO    StreamThr :86018 [internal.py:wandb_internal():86] W&B internal server running at pid: 86018, started at: 2024-03-03 15:08:27.908315
2024-03-03 15:08:27,912 DEBUG   HandlerThread:86018 [handler.py:handle_request():146] handle_request: status
2024-03-03 15:08:27,914 INFO    WriterThread:86018 [datastore.py:open_for_write():87] open: /Users/nathanirniger/Desktop/FS24/PLR/exercise/plr-exercise/scripts/wandb/run-20240303_150827-po4x7ck1/run-po4x7ck1.wandb
2024-03-03 15:08:27,915 DEBUG   SenderThread:86018 [sender.py:send():382] send: header
2024-03-03 15:08:27,941 DEBUG   SenderThread:86018 [sender.py:send():382] send: run
2024-03-03 15:08:28,622 INFO    SenderThread:86018 [dir_watcher.py:__init__():211] watching files in: /Users/nathanirniger/Desktop/FS24/PLR/exercise/plr-exercise/scripts/wandb/run-20240303_150827-po4x7ck1/files
2024-03-03 15:08:28,622 INFO    SenderThread:86018 [sender.py:_start_run_threads():1136] run started: po4x7ck1 with start time 1709474907.908291
2024-03-03 15:08:28,635 DEBUG   HandlerThread:86018 [handler.py:handle_request():146] handle_request: check_version
2024-03-03 15:08:28,635 DEBUG   SenderThread:86018 [sender.py:send_request():409] send_request: check_version
2024-03-03 15:08:28,869 DEBUG   HandlerThread:86018 [handler.py:handle_request():146] handle_request: run_start
2024-03-03 15:08:28,880 DEBUG   HandlerThread:86018 [system_info.py:__init__():27] System info init
2024-03-03 15:08:28,880 DEBUG   HandlerThread:86018 [system_info.py:__init__():42] System info init done
2024-03-03 15:08:28,880 INFO    HandlerThread:86018 [system_monitor.py:start():194] Starting system monitor
2024-03-03 15:08:28,880 INFO    SystemMonitor:86018 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-03 15:08:28,880 INFO    HandlerThread:86018 [system_monitor.py:probe():214] Collecting system info
2024-03-03 15:08:28,881 INFO    SystemMonitor:86018 [interfaces.py:start():190] Started cpu monitoring
2024-03-03 15:08:28,882 DEBUG   HandlerThread:86018 [system_info.py:probe():151] Probing system
2024-03-03 15:08:28,882 INFO    SystemMonitor:86018 [interfaces.py:start():190] Started disk monitoring
2024-03-03 15:08:28,882 INFO    SystemMonitor:86018 [interfaces.py:start():190] Started memory monitoring
2024-03-03 15:08:28,882 INFO    SystemMonitor:86018 [interfaces.py:start():190] Started network monitoring
2024-03-03 15:08:28,889 DEBUG   HandlerThread:86018 [system_info.py:_probe_git():136] Probing git
2024-03-03 15:08:28,915 DEBUG   HandlerThread:86018 [system_info.py:_probe_git():144] Probing git done
